일자,기관 합계,기타법인,개인,외국인 합계,전체
"2022/08/19","-624259.0","19739.0","270770.0","333750.0","0.0"
"2022/08/18","-443976.0","6514.0","134438.0","303025.0","0.0"
"2022/08/17","-199753.0","-6351.0","154721.0","51384.0","0.0"
"2022/08/16","-17359.0","22578.0","-54262.0","49043.0","0.0"
"2022/08/12","202684.0","34601.0","-224295.0","-12990.0","0.0"
"2022/08/11","461174.0","1480.0","-601263.0","138609.0","0.0"
"2022/08/10","-203170.0","43301.0","262142.0","-102273.0","0.0"
"2022/08/09","137076.0","6682.0","-176707.0","32949.0","0.0"
"2022/08/08","-296192.0","37200.0","83243.0","175748.0","0.0"
"2022/08/05","43866.0","-3691.0","-415723.0","375549.0","0.0"
"2022/08/04","-226475.0","17060.0","12003.0","197412.0","0.0"
"2022/08/03","-146529.0","1652.0","-330863.0","475741.0","0.0"
"2022/08/02","-595965.0","7365.0","292351.0","296248.0","0.0"
"2022/08/01","-175527.0","-1758.0","41105.0","136179.0","0.0"
"2022/07/29","147828.0","8143.0","-493248.0","337276.0","0.0"
"2022/07/28","-60187.0","-20680.0","-328033.0","408899.0","0.0"
"2022/07/27","-55248.0","-39496.0","211950.0","-117206.0","0.0"
"2022/07/26","45929.0","180.0","-48179.0","2070.0","0.0"
"2022/07/25","192782.0","-2638.0","-280233.0","90089.0","0.0"
"2022/07/22","-303613.0","13617.0","252548.0","37448.0","0.0"
"2022/07/21","-113321.0","3563.0","-329501.0","439259.0","0.0"
"2022/07/20","-59488.0","35250.0","64240.0","-40002.0","0.0"
"2022/07/19","-144121.0","14044.0","91628.0","38449.0","0.0"
"2022/07/18","-200002.0","-6097.0","-421402.0","627501.0","0.0"
"2022/07/15","-262867.0","19923.0","-20191.0","263135.0","0.0"
"2022/07/14","-533532.0","31038.0","103695.0","398799.0","0.0"
"2022/07/13","356458.0","1239.0","-255184.0","-102512.0","0.0"
"2022/07/12","-238769.0","15053.0","267715.0","-43999.0","0.0"
"2022/07/11","-188017.0","14247.0","192225.0","-18455.0","0.0"
"2022/07/08","-183154.0","23304.0","-87384.0","247234.0","0.0"
"2022/07/07","312959.0","14269.0","-470280.0","143052.0","0.0"
"2022/07/06","-890816.0","40328.0","896929.0","-46441.0","0.0"
"2022/07/05","250074.0","15206.0","-398279.0","133000.0","0.0"
"2022/07/04","310974.0","11832.0","-182464.0","-140342.0","0.0"
"2022/07/01","-5789.0","18844.0","327355.0","-340410.0","0.0"
"2022/06/30","-320396.0","33109.0","520801.0","-233514.0","0.0"
"2022/06/29","-504606.0","36600.0","695262.0","-227256.0","0.0"
"2022/06/28","-88477.0","20175.0","105894.0","-37592.0","0.0"
"2022/06/27","-202602.0","30213.0","-93130.0","265519.0","0.0"
"2022/06/24","641220.0","19945.0","-624312.0","-36853.0","0.0"
"2022/06/23","926411.0","42227.0","-672567.0","-296071.0","0.0"
"2022/06/22","-79432.0","24550.0","375594.0","-320712.0","0.0"
"2022/06/21","540746.0","13262.0","-233518.0","-320490.0","0.0"
"2022/06/20","444823.0","35028.0","182906.0","-662758.0","0.0"
"2022/06/17","53064.0","59016.0","275992.0","-388073.0","0.0"
"2022/06/16","-18655.0","19574.0","-156029.0","155110.0","0.0"
"2022/06/15","79729.0","49180.0","346550.0","-475458.0","0.0"
"2022/06/14","195039.0","45840.0","37321.0","-278201.0","0.0"
"2022/06/13","-218144.0","45751.0","667899.0","-495506.0","0.0"
"2022/06/10","-281364.0","22998.0","1106629.0","-848263.0","0.0"
"2022/06/09","555288.0","5781.0","372977.0","-934045.0","0.0"
"2022/06/08","-55381.0","39168.0","139240.0","-123027.0","0.0"
"2022/06/07","-822961.0","35369.0","992407.0","-204814.0","0.0"
"2022/06/03","321975.0","989.0","-310352.0","-12613.0","0.0"
"2022/06/02","-748870.0","43090.0","792766.0","-86986.0","0.0"
"2022/05/31","-585435.0","35723.0","-508991.0","1058702.0","0.0"
"2022/05/30","420358.0","32436.0","-802109.0","349315.0","0.0"
"2022/05/27","554355.0","-83523.0","-744728.0","273896.0","0.0"
"2022/05/26","-154636.0","24936.0","93043.0","36656.0","0.0"
"2022/05/25","511224.0","13240.0","-358124.0","-166340.0","0.0"
"2022/05/24","-282072.0","27135.0","578623.0","-323686.0","0.0"
"2022/05/23","169737.0","25513.0","-165261.0","-29989.0","0.0"
"2022/05/20","836490.0","10396.0","-1041214.0","194327.0","0.0"
"2022/05/19","-482840.0","55617.0","516780.0","-89557.0","0.0"
